Product,Price,Rating,Location,Sales
"LAPTOP DELL VOSTRO 3481 CORE i3-7020U 8GB SSD 256GB WIN10""14IN",Rp4.250.000,,Jakarta Barat,Terjual 1
"Laptop Lenovo Thinkpad T430 Core i7 Gen 3 - RAM 4GB - Harddisk 320GB - 4 gb, 320GB",Rp2.399.000,,Jakarta Barat,
Laptop Lenovo Thinkpad X250 i5 Gen 5 | 8GB | 512GB,Rp1.950.000,5.0,Jakarta Pusat,Terjual 6
Lenovo Thinkpad X230 i5 2.6Ghz 3320M 8Gb Murah Mulus,Rp2.450.000,4.9,Depok,Terjual 250+
iBox Apple MacBook Air M2 Chip 2022 13 Inch 256GB 512GB Starlight Gray,Rp16.865.000,5.0,Jakarta Utara,Terjual 100+
"Macbook Pro M1 Pro Max 2021 1TB 512GB SSD 16"" & 14"" Inch RAM 32GB 16GB",Rp24.199.000,4.9,Jakarta Pusat,Terjual 250+
"LENOVO SLIM D330 FLEX TOUCH - N4020 8GB 128GB 10.1"" W10 PRO",Rp3.589.000,5.0,Jakarta Selatan,Terjual 250+
"LENOVO V14 G2 Core I5 1135G7 16GB 512SSD W11 14"" FHD",Rp8.779.000,5.0,Jakarta Utara,Terjual 250+
Lenovo Legion Pro 7i i9-13900HX RTX4080 2TB SSD 32GB 240Hz WIN+OHS,Rp 55.499.000,,,
Lenovo Legion Slim 5i i7-13700H RTX4060 512GB SSD 16GB Win11+OHS,Rp 25.499.000,5.0,,Terjual 5
LENOVO LEGION PRO 5i i9-13900HX RTX4070 1TB SSD 32GB 240Hz WIN+OHS,Rp 34.599.000,5.0,,Terjual 17
Apple Macbook PRO 2022 M2 Chip 13 inch RAM 16GB 256GB 512GB 1TB SSD,Rp18.574.990,5.0,Jakarta Pusat,Terjual 500+
"Asus Vivobook Go 14 E1404FA AMD Ryzen 3-7320U 8GB 512GB R610M W11 OHS - 256SSD HITAM, NON BUNDLING",Rp6.499.000,5.0,Jakarta Utara,Terjual 7
Laptop HP Pavilion Aero 13-be1000AU/be1001AU Ryzen 5 5625U 512GB SSD,Rp10.599.000,5.0,Jakarta Barat,Terjual 30+
"Apple MacBook Air M1 Chip 2020 13"" 256GB 512GB Garansi Resmi iBox",Rp11.999.000,5.0,Kab. Gianyar,Terjual 19
